Date,Ethereum,Ronin,Flow,Solana,WAX,Polygon,Tezos,Panini,BNB Chain,Theta,Avalanche
2021-01-31,19477629.452890906,0.0,12519071.0,0.0,312955.84158793534,5.613689503698727e-09,0.0,87912.43,0.0,0.0,0.0
2021-02-07,15045957.4341082,0.0,10468359.0,0.0,264902.2230009356,4.163615372615448e-11,0.0,60218.990000000005,0.0,0.0,0.0
2021-02-14,46793003.54934608,0.0,58165716.0,0.0,986846.2876850263,2.846348536875501e-06,0.0,51894.1,0.0,0.0,0.0
2021-02-21,51192101.74136463,0.0,132434916.0,0.0,1136344.0796690965,0.00018909755165018131,0.0,75760.13,478139.77552071796,0.0,0.0
2021-02-28,33218564.076264456,0.0,59915948.0,0.0,780687.204237581,1.0313352775959128e-10,2813.736091344458,143715.33000000002,693552.7160864408,0.0,0.0
2021-03-07,61930447.438599624,0.0,45795604.0,0.0,1173856.6489371122,2.644088455128202e-10,855.747241626525,176085.22,193467.2321185336,0.0,0.0
2021-03-14,42551480.7984351,0.0,46373698.0,0.0,804004.8105126662,33218.29664421108,12339.161391588696,146733.8,212151.36020563738,0.0,0.0
2021-03-21,24935334.196277436,0.0,50049761.05048487,0.0,914170.4412376287,294272.3438377382,1125.3780269416916,78249.31,41846.59662559873,0.0,0.0
2021-03-28,18885180.567181066,0.0,29983798.100144275,0.0,1145787.5630090416,979228.9269107914,295.6166580741038,95037.17,30612.691393095414,0.0,101906.97593593597
2021-04-04,37377135.55355921,0.0,17155394.78654836,0.0,2783119.564666538,2846192.5830402374,4026.032112442367,87270.41,33069.46539704217,0.0,11146.903924167389
2021-04-11,45889215.57055091,0.0,23099126.98887023,0.0,9018570.643078309,3127439.5480270386,486.3960852473516,93795.64,114285.86693578755,0.0,9621.962293624878
2021-04-18,25077332.714623705,0.0,16897048.524802286,0.0,8054722.115116491,1718423.5075683594,278.54091695537016,105189.09,341106.4139494931,0.0,3637.7362480163574
2021-04-25,26511391.240445953,1215538.9975335887,17391767.34686244,0.0,9714280.439124921,1719670.11312294,40.14541270273268,73969.95,318736.9911468729,0.0,1060.919174194336
2021-05-02,176766031.6447392,3716867.7556950906,12702083.272933183,0.0,7171110.903503064,4187114.1335487366,628.2126231492337,77804.94,253386.57542363834,0.0,5025.46413230896
2021-05-09,71986552.75584523,3684684.077066164,11490320.359677106,0.0,5330521.168700814,6213808.224769592,402.3373261067869,70207.4,70408.5402103222,0.0,19418.481558561325
2021-05-16,23320755.713270273,6376197.532194527,7339246.4722901685,0.0,6328995.697344659,4011319.798898697,556.3007188807243,89185.0,18402.198282259502,0.0,14080.611854553223
2021-05-23,20635949.178765222,8649810.39817612,6145769.595832522,0.0,5707071.054583006,4390064.727178574,298.3367920108564,49845.41,21529.328848809302,0.0,4170.52597618103
2021-05-30,19630964.423891738,19755652.273646325,6492570.691135539,0.0,3847636.8014589422,2446759.423067715,1224.7734559118412,88330.73999999999,67139.4808945154,0.0,11491.939418792725
2021-06-06,22136140.99216525,22547217.837108754,12135026.3913498,0.0,2716352.102030716,2709912.0707416423,416.1244078406968,65194.619999999995,115103.60667201219,0.0,3827.5923280715942
2021-06-13,27565027.33168322,24371503.872267667,14529742.833742294,0.0,2428183.3706898824,2245952.5665504634,885.8945571701596,67728.0,494425.207040881,0.0,8950.968257904053
2021-06-20,48149996.94200647,30925842.663213804,9902576.576363591,0.0,2108216.7472955375,1912563.9028609172,594.1521080004437,122314.0,202848.7088834972,61.19,14622.354408740997
2021-06-27,37318154.97349078,63640183.978761524,6213294.6566034295,0.0,1739319.0586044504,3921992.5260436535,246.13391380642489,276011.0,10359.743964656998,0.0,4527.2993993759155
2021-07-04,51049188.00267589,139774208.84874865,5494127.033745719,0.0,1958804.4553220319,3380098.544285059,177.2228605435231,1608303.0,756.7360844154296,0.0,6906.838007450104
2021-07-11,74696694.03820807,185849792.8164385,5442743.240764026,0.0,2713034.93731911,3888388.325146541,220.43560451324936,775224.28,6846.0055391567275,0.0,4987.522468328476
2021-07-18,55474452.78142061,136947877.34364584,4872835.528409249,0.0,2021162.105789867,5629750.353421332,423.61176356572605,545966.2,2184.3500017437905,0.0,3007.4539902210236
2021-07-25,215903579.3206954,169088849.31072026,4097152.9338367935,0.0,2307692.369546619,7004739.433936719,628.556615648063,1970165.12,2849.3842732813177,3.49,2239.163292646408
2021-08-01,494218825.45793205,207415396.04362753,9054654.490217118,265683.8851075502,3503962.699688499,9833691.106196854,729.4977248986607,1183643.63,30584.166062417447,0.0,13293.19601392746
2021-08-08,408538112.32722,215344446.21920162,6339341.9723171415,1479989.9233926446,2084074.633916094,8679219.625776293,1736.873957280132,2015678.69,20225.213091005975,0.0,15243.985888004303
2021-08-15,718882996.5495396,205136314.41723496,6423599.243710373,14438551.586038947,1595507.4794465855,11422305.30258711,8009.014249855629,1798086.68,432874.7521397113,5.4,31284.51282119751
2021-08-22,1500184433.4645278,159050030.84571993,13544657.731501166,49799685.6807104,2182681.7655259166,14475615.599933658,2090.151323877709,414368.62,135535.30085863086,3062322.0132723744,1603318.8781223297
2021-08-29,1212181810.3567982,147338225.9339557,4859810.521188513,163933879.58225897,3066993.675900868,13925195.500854695,594267.0868141598,910174.46,342353.71537950257,7527968.480137769,2293973.3154473305
2021-09-05,540744608.2402147,147241479.72447127,3459077.3600840014,62455184.210270435,2798137.2447487516,8258389.653330739,541326.4458474752,792047.98,117625.13222040754,995071.9787830659,2554540.2492046356
2021-09-12,510505704.3729471,110778600.2419464,3313792.6764109386,27908772.717517063,2097269.275521461,7299672.558740368,1013388.0713126813,115477.09,24919.042330939003,2890101.6378402384,2058349.5918297768
2021-09-19,370208096.1633822,109446991.41359898,6959794.186232666,43368885.8459896,1463023.0384805212,6162376.701623689,479926.92873158085,208075.83000000002,21395.008628838445,5841.007429199539,777616.3535308838
2021-09-26,557509565.7953069,98402784.38973865,5810159.324000038,111271649.5347738,5007902.114397973,5931004.964098945,1930979.7438618916,385320.81,85522.07448132269,22929.266744606728,2162505.910545349
2021-10-03,689949388.9914869,142482506.61261743,5847348.902298595,123956112.00350414,9285301.395426221,4094005.257430655,2870502.305124126,246462.21000000002,46278.233447355844,5094.010498939469,2535902.866276741
2021-10-10,464334803.6725686,122686879.29780185,12800317.583212104,51566844.28831304,10444203.442852814,4275636.204843283,2467359.107150108,136410.84999999998,23689.949436395724,8924.38737088777,793524.641494751
2021-10-17,369433367.3306195,118884189.71733531,11112082.300228069,34113979.33800235,18246146.62290173,5734097.340455685,1830918.5782841935,118471.09,1047752.6305714617,1432.1092388009988,352947.56400966644
2021-10-24,250584679.6287099,111969939.2090343,8849309.096471211,28426929.651847746,44908748.72966689,6352958.52479051,2003913.4375096555,129063.0,22732.31546537609,2701.2151407103743,310779.7972393036
2021-10-31,264731938.10395348,183550679.45571682,6377238.477588413,32678967.59756919,32057386.379354447,5106097.15851255,1448209.418625119,139655.93,31698.689974503737,1245.5103819103288,162331.69060516357
2021-11-07,322381755.9204378,215326437.81945312,6533350.669785788,41487910.36976754,36922374.58564223,18058395.81880801,1181920.0871460787,893694.62,31192.74100994542,15808.299562080152,702074.2259191871
2021-11-14,511623369.72093105,170305641.9352195,6394807.208531849,44455184.90828015,44816380.42893984,8785085.950995956,738669.7034114188,282110.36,25286.739480606913,60720.28014455212,4064158.1363068223
2021-11-21,363854266.3832889,146624251.28191072,6319840.611138708,47176205.809476726,23655633.07969451,9974422.991147311,797490.9694802865,121592.07,66237.40289311107,38801.782401999466,9492531.48355925
